_id,slug,type,visibility,orphan,title,header,main,rank,aposDocId,path,level,aposLocale,aposMode,metaType,createdAt,archived,titleSortified,updatedAt,cacheInvalidatedAt,updatedBy,highSearchText,highSearchWords,lowSearchText,searchSummary,modified,lastPublishedAt,parkedId,parked,historicUrls
wlw2h4boigznk6g5j2lkjngi:en:draft,/blog,default-page,public,false,Blog,"{""_id"":""dx5g4qlaybu5sh3er5250uba"",""items"":[],""metaType"":""area""}","{""_id"":""ngsz6dknn8ujl0iksksba874"",""items"":[{""label"":"""",""title"":""Coming soon: The Build Log"",""description"":""See what we're learning — in real time, in plain language, and with a bias toward growth."",""_id"":""xyk7cl5iafap8ytaewyxdyga"",""metaType"":""widget"",""type"":""page-intro"",""aposPlaceholder"":false}],""metaType"":""area""}",23,wlw2h4boigznk6g5j2lkjngi,clt4cxwou0005g5kqdtxxb89u/wlw2h4boigznk6g5j2lkjngi,1,en:draft,draft,doc,2025-04-26T13:06:00.657Z,false,blog,2025-04-26T13:06:00.657Z,2025-04-26T13:06:00.657Z,"{""_id"":""ft95iihve7kj9x9dmj4xjtnq"",""title"":""admin"",""username"":""admin""}",blog blog blog default page public blog coming soon the build log see what we re learning in real time in plain language and with a bias toward growth,"[""blog"",""default"",""page"",""public"",""coming"",""soon"",""the"",""build"",""log"",""see"",""what"",""we"",""re"",""learning"",""in"",""real"",""time"",""plain"",""language"",""and"",""with"",""a"",""bias"",""toward"",""growth""]",blog blog blog default page public blog coming soon the build log see what we re learning in real time in plain language and with a bias toward growth,,false,2025-04-26T13:06:00.681Z,,,
wlw2h4boigznk6g5j2lkjngi:en:published,/blog,default-page,public,false,Blog,"{""_id"":""dx5g4qlaybu5sh3er5250uba"",""items"":[],""metaType"":""area""}","{""_id"":""ngsz6dknn8ujl0iksksba874"",""items"":[{""label"":"""",""title"":""Coming soon: The Build Log"",""description"":""See what we're learning — in real time, in plain language, and with a bias toward growth."",""_id"":""xyk7cl5iafap8ytaewyxdyga"",""metaType"":""widget"",""type"":""page-intro"",""aposPlaceholder"":false}],""metaType"":""area""}",23,wlw2h4boigznk6g5j2lkjngi,clt4cxwou0005g5kqdtxxb89u/wlw2h4boigznk6g5j2lkjngi,1,en:published,published,doc,2025-04-26T13:06:00.696Z,false,blog,2025-04-26T13:06:00.696Z,2025-04-26T13:06:00.696Z,"{""_id"":""ft95iihve7kj9x9dmj4xjtnq"",""title"":""admin"",""username"":""admin""}",blog blog blog default page public blog coming soon the build log see what we re learning in real time in plain language and with a bias toward growth,"[""blog"",""default"",""page"",""public"",""coming"",""soon"",""the"",""build"",""log"",""see"",""what"",""we"",""re"",""learning"",""in"",""real"",""time"",""plain"",""language"",""and"",""with"",""a"",""bias"",""toward"",""growth""]",blog blog blog default page public blog coming soon the build log see what we re learning in real time in plain language and with a bias toward growth,,,2025-04-26T13:06:00.681Z,,,"[""/blog""]"
